id,name_ko,effect_ko,move_speed_bonus,vision_radius_tiles,day_temp_rise_mult,mining_crit_bonus,inventory_theft_immune,double_jump,double_jump_height_ratio,pools,note
bell_norigae,방울 노리개,이중 점프(높이 80%),0,0,0,0,0,1,0.8,상층·심층,Cloud in a Bottle 번역
wind_daenggi,바람 댕기,이동속도 +15%,0.15,0,0,0,0,0,0,폐허·중층,동선 QoL — 전투 수치 무간섭
tiger_eye_bead,호랑이 눈 구슬,시야 반경 +3타일,0,3,0,0,0,0,0,중층·심층,등불 태그 분리 — 어둑시니 판정 불참
ice_heart_norigae,얼음 심장 노리개,낮 체온 상승 -15%,0,0,-0.15,0,0,0,0,중층·심층,설한풍 -20%와 합연산 총 상한 -35%
bokjumeoni,복주머니,채굴 크리티컬 +10%p,0,0,0,0.10,0,0,0,상층·중층,무쇠 발톱 15%와 합산 상한 25%
dokkaebi_gamtu,도깨비 감투,야광귀 인벤 절도 무효,0,0,0,0,1,0,0,폐허·심층,바닥 절도·접촉 피해는 유지
ssireum_knot,씨름 샅바 매듭,밀치기 계열이 넉백한 대상을 1초 붙잡는다,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
iron_appetite,무쇠 식성,철 계열 타일 채굴 시 소리로 광맥 방향이 들린다,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
yeouiju_shard,여의주 파편,냉각로 반경 6→10 · 얼음 자연 용해 속도 절반,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
jigwi_ember,지귀의 잉걸(아티팩트),낮 지상에서 그림자 안에 있으면 체온이 오르지 않는다,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
drought_heart_shard,가뭄 심장 조각,낮 지상 한정 화염 -25%(지하 무효) · 낮 지상 이속,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
tiger_gait,산군 걸음,지상에서 요괴가 먼저 공격하지 않는다(먼저 치면 해제),0,0,0,0,0,0,0,아티팩트,v46 artifact A안
three_horn,세 갈래 뿔(아티팩트),활 계열 장전 중에도 걸을 수 있다(사격은 여전히 정지),0,0,0,0,0,0,0,아티팩트,v46 artifact A안
eop_scale,업의 비늘(아티팩트),모듈이 정지해도 60초간 기능을 유지한다,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
yeongno_mask,영노의 탈(아티팩트),한 번 삼켜져도 즉시 탈출(하루 1회),0,0,0,0,0,0,0,아티팩트,v46 artifact A안
perfect_core,완전체 핵,한파 코어 1기를 옮겨 설치할 수 있다,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
clay_hand,옹기장이 손,점토 계열 제작 시간 절반,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
skate_pad,살얼음 발판,미끄러짐 중 방향 전환 가능,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
magpie_bell,까치 방울,까치 줍기 반경 10→16,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
old_key,옛 열쇠,장독 창고를 어디서나 연다(하루 3회),0,0,0,0,0,0,0,아티팩트,v46 artifact A안
minhwa_ink,민화 먹,도감 등재 시 눈물 +1,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
vault_seal,창고 봉인,설치물 철거 회수율 50→100%,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
gate_mark,빙암 표식,심층에서 시야 반경 +3,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
dry_trace,마른 궤적,화염 태그 피해 -10%(곱연산),0,0,0,0,0,0,0,아티팩트,v46 artifact A안
altar_echo,제단 메아리,봉헌 재료 요괴 눈물 30→20,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
frost_map,서리 지도,이미 판 통로가 화면 가장자리에 표시된다,0,0,0,0,0,0,0,아티팩트,v46 artifact A안
